1,2,3
0.2,5.1,8
0.5,5.1,8
0.8,5.1,8
1.1,5.1,8
1.4,5.1,8
1.7,5.1,8
2,5.1,8
2.3,5.1,8
2.6,5.1,8
2.9,5.1,8
3.2,5.1,8
3.5,5.1,8
3.8,5.1,8
4.1,5.1,8
4.4,5.1,8
4.7,5.1,8
5,5.1,8
5.3,5.1,8
5.6,5.1,8
5.9,5.1,8
6.2,5.1,8
6.5,5.1,8
6.8,5.1,8
7.1,5.1,8
7.4,5.1,8
7.7,5.1,8
8,5.1,8
8.3,5.1,8
8.6,5.1,8
8.9,5.1,8
9.2,5.1,8
9.5,5.1,8
9.8,5.1,8
10.1,5.1,8
